restaurant_name,menu_name,cloudinary_url
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),เซตปังปิ้งเนย,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),เผือกนมสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),เอสเพรสโซ่,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),โกโก้ - ชาไทย,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),โกโก้ - นมชมพู,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),โกโก้ - เผือกนมสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),โกโก้นมสด,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),โกโก้บราวน์ชูก้า,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),โกโก้อาม่า,
กินปังกัน - ชา กาแฟ นมสด & ขนมปังปิ้ง (GIN-PUNG-GUN),โอวัลตินนมสด,
ข้าวผัดผงกะหรี่ไข่ข้น & ขนมจีนน้ำยาปู อ่อนนุช65,ข้านคลุกพริกเกลือ หมู-หมึก-กุ้ง,
ข้าวผัดผงกะหรี่ไข่ข้น & ขนมจีนน้ำยาปู อ่อนนุช65,ข้าวกุ้งขาวมันกุ้ง,
ข้าวผัดผงกะหรี่ไข่ข้น & ขนมจีนน้ำยาปู อ่อนนุช65,ข้าวกุ้งอบน้ำปลา,
ข้าวผัดผงกะหรี่ไข่ข้น & ขนมจีนน้ำยาปู อ่อนนุช65,ข้าวกุ้งแกะ,
ข้าวผัดผงกะหรี่ไข่ข้น & ขนมจีนน้ำยาปู อ่อนนุช65,ข้าวกุ้งไข่ต้มมันกุ้ง,
ข้าวผัดผงกะหรี่ไข่ข้น & ขนมจีนน้ำยาปู อ่อนนุช65,ข้าวคลุกพริกเกลือ หมู,
